course_name	course_title	course_description	course_subject	course_alternative_names
Xcomlit r1a	English Composition in Connection with the Reading of World Literature	Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half. 	FPF-Comparative Literature	FPF-Comparative Literature R1A XCOMLITR1A
Xeps 80	Environmental Earth Sciences	The course describes geologic processes active on and in the earth and man's interactions with them. Geologic aspects of use of the land and oceans based on an understanding of earth's environmental processes. 	FPF-Earth & Planetary Sci	FPF-Earth & Planetary Sci 80 XEPS80
Xgeog 30	The Ocean World	Introduction to the cultural and physical geography of the world's oceans. Ecology of ocean biota and environments. History and geography of ocean peoples, cultures, and resource use. Problems confronting ocean peoples and environments. New approaches to saving the oceans. 	FPF-Geography	FPF-Geography 30 XGEOG30
Xmath 32	Precalculus	Polynomial and rational functions, exponential and logarithmic functions, trigonometry and trigonometric functions. Complex numbers, fundamental theorem of algebra, mathematical induction, binomial theorem, series, and sequences. 	FPF-Mathematics	FPF-Mathematics 32 XMATH32
Xphilos 2	Individual Morality and Social Justice	Introduction to ethical and political philosophy. 	FPF-Philosophy	FPF-Philosophy 2 XPHILOS2
Xasamst 20a	Introduction to the History of Asians in the United States	Introductory comparative analysis of the Asian American experience from 1848 to present. Topics include an analysis of the Asian American perspective; cultural roots; immigration and settlement patterns; labor, legal, political, and social history. 	FPF-Asian American Stds	FPF-Asian American Stds 20A XASAMST20A
Xpolsci 2	Introduction to Comparative Politics	This course deals with the basic problems and processes that all political systems face and examines their particular expression in Western, Communist, and Third World settings. 	FPF-Political Science	FPF-Political Science 2 XPOLSCI2
Xmusic 27	Introduction to Western Music	Devoted to the development of listening skills, and a survey of major forms and types of Western art music. 	FPF-Music	FPF-Music 27 XMUSIC27
Xintegb 41	Marine Mammals	A survey of marine mammal evolution, biology, behavior, ecology, and politics with a concentration on those species found in the North Pacific. Coverage would include: origin and evolution of cetaceans, pinnipeds, sirenians, and sea otters; basic biology and anatomy of marine mammal groups, and North Pacific species in particular; ecological interactions and role in nearshore and pelagic marine communities; and interactions between humans and marine mammals. 	FPF-Integrative Biology	FPF-Integrative Biology 41 XINTEGB41
Xmestu 10	Introduction to Middle Eastern Studies	This course is a lower division introduction to the study of the contemporary Middle East and North Africa, with emphasis on historical trajectories, political, social, and cultural transformations, and religious phenomena. It covers topics related to the Arab world, Turkey, Iran, and Israel from an interdisciplinary perspective. The intended audience for the course is Middle Eastern Studies majors, prospective majors, and minors, for whom it fulfills the lower division requirement, as well as students in other majors interested in the Middle East.	FPF-Middle Eastern Stds	FPF-Middle Eastern Stds 10 XMESTU10
Xrhetor r1a	The Craft of Writing	Rhetorical approach to reading and writing argumentative discourse. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies.	FPF-Rhetoric	FPF-Rhetoric R1A XRHETORR1A
Xintegb 31	The Ecology and Evolution of Animal Behavior	Principles of evolution biology as they relate to animal behavior and behavioral ecology with broad coverage of animal groups. Special attention will be paid to the emerging discipline of behavioral ecology. 	FPF-Integrative Biology	FPF-Integrative Biology 31 XINTEGB31
Xclassi 10a	Introduction to Greek Civilization	Study of the major developments, achievements, and contradictions in Greek culture from the Bronze Age to the 4th century BCE. Key works of literature, history, and philosophy (read in English translation) will be examined in their political and social context, and in relation both to other ancient Mediterranean cultures and to subsequent developments in Western civilization. 	FPF-Classics	FPF-Classics 10A XCLASSI10A
Xrhetor r1b	The Craft of Writing	Intensive argumentative writing drawn from controversy stimulated through selected readings and class discussion. Satisfies the second half of the Reading and Composition requirement. 	FPF-Rhetoric	FPF-Rhetoric R1B XRHETORR1B
Xintegb 33	The Age of Dinosaurs	Open without prerequisite to all students and designed for those not specializing in paleontology. Evolution, history, and ecology of the dinosaurs and their world, including the earliest mammals and birds. 	FPF-Integrative Biology	FPF-Integrative Biology 33 XINTEGB33
Xlingui 55ac	The American Languages	A linguistic view of the history, society, and culture of the United States. The variety of languages spoken in our country and the issues surrounding them: language and ethnicity, politics of linguistic pluralism vs. societal monolingualism, language and education, language shift, loss, retention, and renewal. Languages include English (standard and nonstandard; African American English), pidgins and creoles, Native American languages, Spanish, French, and immigrant languages from Asia and Europe. 	FPF-Linguistics	FPF-Linguistics 55AC XLINGUI55AC
Xcolwri r1a	Accelerated Reading and Composition	An intensive, accelerated course satisfying concurrently the requirements of the UC Entry Level Writing Requirement and the first half of Reading and Composition. Readings will include imaginative, expository and argumentative texts representative of the range of those encountered in the undergraduate curriculum and will feature authors from diverse social and cultural backgrounds and perspectives. Instruction in writing a range of discourse forms and in the revision of papers. 	FPF-College Writing Pgm	FPF-College Writing Pgm R1A XCOLWRIR1A
Xrhetor 2	Fundamentals of Public Speaking	Basic principles of rhetoric as applied to the criticism and practice of public speaking. 	FPF-Rhetoric	FPF-Rhetoric 2 XRHETOR2
Xeps c20	Earthquakes in Your Backyard	Introduction to earthquakes, their causes and effects. General discussion of basic principles and methods of seismology and geological tectonics, distribution of earthquakes in space and time, effects of earthquakes, and earthquake hazard and risk, with particular emphasis on the situation in California. 	FPF-Earth & Planetary Sci	FPF-Earth & Planetary Sci C20 XEPSC20
Xenglis 31ac	Literature of American Cultures	"An introduction to the ethnic diversity of American literature. The course will take substantial account of the literature of three or more of the following groups: African Americans, Native Americans, Asian Americans, Chicanos/Latinos, and European Americans. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" well before the beginning of the semester for details. "	FPF-English	FPF-English 31AC XENGLIS31AC
Xgeog 50ac	California	"California had been called ""the great exception"" and ""America, only more so."" Yet few of us pay attention to its distinctive traits and to its effects beyond our borders. California may be ""a state of mind,"" but it is also the most dynamic place in the most powerful country in the world, and would be the 8th largest economy if it were a country. Its wealth has been built on mining, agriculture, industry, trade, and finance. Natural abundance and geographic advantage have played their parts, but the state's greatest resource has been its wealth and diversity of people, who have made it a center of technological and cultural innovation from Hollywood to Silicon Valley. Yet California has a dark side of exploitation and racialization."	FPF-Geography	FPF-Geography 50AC XGEOG50AC
Xlegals r1b	Reading and Composition in Connection with the Law as a Social Institution	This course is designed to fulfill the second half of the Reading and Composition requirement. Students will develop their skills at critical reading, writing, and analysis, and will complete a series of essays culminating in a research paper relating to law, legal actors, and legal institutions. Emphasis will be placed on the process of writing, including developing research questions, constructing an argument, and revising for content and style. 	FPF-Legal Studies	FPF-Legal Studies R1B XLEGALSR1B
Xpolsci 1	Introduction to American Politics	An introductory analysis of the structure and operations of the American political system, primarily at the national level. 	FPF-Political Science	FPF-Political Science 1 XPOLSCI1
Xhistar r1b	Reading and Writing about Visual Experience	How do mechanisms of perception structure responses to visual art? What is at stake when words describe images? By means of intensive looking, thinking, speaking, and writing, this course introduces the student to a series of problems and issues in the description and analysis of works of art. Because the course is also an introduction to the historical study of art, it is intended for students with no previous course work in the field. 	FPF-History of Art	FPF-History of Art R1B XHISTARR1B
Xmestu 20	Perspectives on the Middle East	A weekly seminar including guest speakers on (1) ethnic perspectives (Persians, Arabs, Turks, Israelis); (2) religious perspectives (Islam, Christianity, Judaism); and (3) disciplinary perspectives (anthropology, sociology, etc.). The seminar introduces students to the work of several major Berkeley Middle East scholars. The class has no prerequisites and admission preference is given to lower division students and prospective Middle Eastern majors. 	FPF-Middle Eastern Stds	FPF-Middle Eastern Stds 20 XMESTU20
Xafrica 98	Directed Group Study	The subject matter will vary from semester to semester and will be taught by the facilitator.  Topics to be related to African American Studies. 	FPF-African American Studies	FPF-African American Studies 98 XAFRICA98
Xcomlit r1b	English Composition in Connection with the Reading of World Literature	Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half. 	FPF-Comparative Literature	FPF-Comparative Literature R1B XCOMLITR1B
Sociol 3ac	Principles of Sociology	Comparing the experience of three out of five ethnic groups (e.g. African Americans, Asian Americans, Chicano/Latino, European Americans, and Native Americans) we shall examine historically how each people entered American society and built communities and transformed their cultures in the process. Students will be introduced to the sociological perspective, characteristic methods of research, and such key concepts as culture, community, class, race, social change, and social movements. 	Sociology	Sociology 3AC SOCIOL3AC
Mcellbi 98	Directed Group Study	Lectures and small group discussions focusing on topics of interest, varying from semester to semester. 	Molecular & Cell Biology	Molecular & Cell Biology 98 MCELLBI98
Espm 50ac	Introduction to Culture and Natural Resource Management	An introduction to how culture affects the way we use and manage fire, wildland and urban forests, rangelands, parks and preserves, and croplands in America. The basic concepts and tools for evaluating the role of culture in resource use and management are introduced and used to examine the experience of American cultural groups in the development and management of western natural resources. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 50AC ESPM50AC
Arch 170a	An Historical Survey of Architecture and Urbanism	The first part of this sequence studies the ancient and medieval periods; the second part studies the period since 1400; the aim is to look at architecture and urbanism in their social and historical context. 	Architecture	Architecture 170A ARCH170A
Stat 134	Concepts of Probability	An introduction to probability, emphasizing concepts and applications. Conditional expectation, independence, laws of large numbers. Discrete and continuous random variables. Central limit theorem. Selected topics such as the Poisson process, Markov chains, characteristic functions. 	Statistics	Statistics 134 STAT134
Stat 20	Introduction to Probability and Statistics	For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields. 	Statistics	Statistics 20 STAT20
Ugba 157	Special Topics in Organizational Behavior	A variety of topics in organizational behavior and industrial relations with emphasis on current problems and research. 	Business Admin-Undergrad	Business Admin-Undergrad 157 UGBA157
Educ 198	Directed Group Study	Group discussion, research, and reporting on selected topics. Student initiation in choice of subjects is solicited and welcomed. 	Education	Education 198 EDUC198
Com lit r1b	English Composition in Connection with the Reading of World Literature	Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half. 	Comparative Literature	Comparative Literature R1B COM LITR1B
English r1a	Reading and Composition	Training in writing expository prose.  Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement. 	English	English R1A ENGLISHR1A
Physics 7a	Physics for Scientists and Engineers	Mechanics and wave motion. 	Physics	Physics 7A PHYSICS7A
Nav sci 3	Leadership and Management I	This course will cover basic management, decision making, and moral leadership. The student will learn to establish meaningful goals, prioritize among competing demands, and plan and forecast in a task-centered organization. The course includes exposure to measures of organizational effectiveness, methods to overcome resistance to change, effective communications, and techniques to aid in counseling, team building, and resolution of disciplinary and personnel matters. 	Naval Science	Naval Science 3 NAV SCI3
History 122ac	Antebellum America: The Advent of Mass Society	This course examines half a century of life in the United States (roughly from the War of 1812 until the secession of the Southern states), focusing on race relations, westward expansion, class formation, immigration, religion, sexuality, popular culture, and everyday life. Assigned readings will consist largely of first-person narratives in which women and men of a range of ethnic and cultural backgrounds construct distinctive visions of life in the new nation. 	History	History 122AC HISTORY122AC
Pol sci 179	Undergraduate Colloquium on Political Science	Political issues facing the state of California, the United States, or the international community. 	Political Science	Political Science 179 POL SCI179
Physics 110a	Electromagnetism and Optics	A course emphasizing electromagnetic theory and applications; charges and currents; electric and magnetic fields; dielectric, conducting, and magnetic media; relativity, Maxwell equations. Wave propagation in media, radiation and scattering, Fourier optics, interference and diffraction, ray optics and applications. 	Physics	Physics 110A PHYSICS110A
Mba 200c	Leadership Communication	Leadership Communication is a workshop in the fundamentals of public speaking in today's business environment. Through prepared and impromptu speeches aimed at moving others to action, peer coaching, and lectures, students will sharpen their authentic and persuasive communication skills, develop critical listening skills, improve abilities to give, receive, and apply feedback, and gain confidence as public speakers. 	Business Admin-MBA	Business Admin-MBA 200C MBA200C
Compsci 61a	The Structure and Interpretation of Computer Programs	An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects.	Computer Science	Computer Science 61A COMPSCI61A
Chem 1a	General Chemistry	Stoichiometry of chemical reactions, quantum mechanical description of atoms, the elements and periodic table, chemical bonding, real and ideal gases, thermochemistry, introduction to thermodynamics and equilibrium, acid-base and solubility equilibria, introduction to oxidation-reduction reactions, introduction to chemical kinetics. 	Chemistry	Chemistry 1A CHEM1A
Geog 31	Justice, Nature, and the Geographies of Identity	The intersection of nature, identity, and politics pepper the pages of newspapers almost every day from stories of toxic waste sites, crime, genetic engineering to indigenous struggles, and terrorist tendencies. In all these and many other cases, ideas of race, class, and gender intersect with ideas of nature and geography in often tenacious and troubling ways. Our approach will be to understand these traditional ideas of environmental justice as well as to examine less traditional sites of environmental justice such as the laboratory, the war zone, the urban mall, and the courtroom. 	Geography	Geography 31 GEOG31
Nusctx 302	Professional Preparation: Supervised Teaching Experience in Nutrition	Practical supervised experience in teaching nutrition and food science at the university level; planning, presentation, and evaluation of instructional units. 	Nutritional Science & Tox	Nutritional Science & Tox 302 NUSCTX302
Educ 293a	Data Analysis in Education Research	Introduces students to quantitative statistical methods for educational research. Emphasizes parameter estimation and hypothesis testing, in particular of group differences based on means, medians, proportions and correlation coefficients. Section 1 takes a conceptual and heuristic approach and includes a module on distribution free statistics. Section 2 takes an algebraic approach and includes a module on multiple regression. High school algebra is strongly recommended for section 2. 	Education	Education 293A EDUC293A
Scandin 24	Freshman Seminars	The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. 	Scandinavian	Scandinavian 24 SCANDIN24
Theater 60	Introduction to Technical Theater and Production	"A practical introduction to the terminology, theories, approaches, and techniques of technical theater and production. The course will cover theatrical terminology, stage equipment and architecture, production personnel and processes, and design departments, including scenery, properties, costumes, lighting, sound, and video. The course has a laboratory component. Based on student preference and availability, assignments for work on departmental productions will be made to one of two types of lab: department shops on a regular weekly schedule throughout the semester, or as run crew for a production fulfilling all required hours including evening and weekend calls.
"	Theater Dance & Perf Stds	Theater Dance & Perf Stds 60 THEATER60
History 7a	Introduction to the History of the United States: From Colonial Settlement to the Civil War	"This course is an introduction to the history of the United States from the beginning of the European colonization of North America to the end of the Civil War. It is also an introduction to the ways historians look at the past and think about evidence. There are two main themes: one is to understand the origin of the ""groups"" we call European-Americans, Native-Americans, and African-Americans; the second, is to understand how democratic political institutions emerged in the United States in this period in the context of an economy that depended on slave labor and violent land acquisition. "	History	History 7A HISTORY7A
Astron 7a	Introduction to Astrophysics	This is the first part of an overview of astrophysics, with an emphasis on the way in which physics is applied to astronomy. This course deals with the solar system and stars, while 7B covers galaxies and cosmology. Solar system topics include orbital mechanics, geology of terrestrial planets, planetary atmospheres, and the formation of the solar system. The study of stars will treat determination of observations, properties and stellar structure, and evolution. The physics in this course includes mechanics and gravitation; kinetic theory of gases; properties of radiation and radiative energy transport; quantum mechanics of photons, atoms, and electrons; and magnetic fields. 	Astronomy	Astronomy 7A ASTRON7A
Ewmba 205	Organizational Behavior	A survey of knowledge about behavior in and of organizations. Covered will be issues of individual behavior, group functioning, and the actions of organizations in their environments. Problems of work motivation, task design, leadership, communication, organizational design, and innovation will be analyzed from multiple theoretical perspectives. Implications for the management of organizations will be illustrated through examples, cases, and exercises. 	Evening & Weekend MBA	Evening & Weekend MBA 205 EWMBA205
Mba 202	Financial Accounting	This course examines accounting measurements for general-purpose financial reports. An objective of the course is to provide not only a working knowledge but also a clear understanding of the contents of published financial statements. 	Business Admin-MBA	Business Admin-MBA 202 MBA202
Chem 298	Seminars for Graduate Students	In addition to the weekly Graduate Research Conference and weekly seminars on topics of interest in biophysical, organic, physical, nuclear, and inorganic chemistry, there are group seminars on specific fields of research. Seminars will be announced at the beginning of each semester. 	Chemistry	Chemistry 298 CHEM298
Compsci c280	Computer Vision	Paradigms for computational vision. Relation to human visual perception. Mathematical techniques for representing and reasoning, with curves, surfaces and volumes. Illumination and reflectance models. Color perception. Image segmentation and aggregation. Methods for bottom-up three dimensional shape recovery: Line drawing analysis, stereo, shading, motion, texture. Use of object models for prediction and recognition.	Computer Science	Computer Science C280 COMPSCIC280
Mcellbi 200a	Fundamentals of Molecular and Cell Biology	"The goal of this course is to provide graduate-level instruction on molecular and cellular biosciences from a highly-integrated systems perspective, rather than using a more classic, techniques-oriented format. A collection of approaches, and a focus on critical thinking and problem solving, will be used to show how fundamental, highly-significant biological problems are ""cracked open."" Reading will be assigned from a mix of classic and current peer-reviewed papers selected by the instructors. "	Molecular & Cell Biology	Molecular & Cell Biology 200A MCELLBI200A
Pb hlth 200c1	Health Policy and Management Breadth Course	Health policy and management applies concepts from economics, organizational behavior, and political science to the structure, financing, and regulation of the public health and health care delivery systems. This breadth course is designed to give MPH students a basic set of competencies in the domains central to the field. 	Public Health	Public Health 200C1 PB HLTH200C1
Math 250a	Groups, Rings, and Fields	Group theory, including the Jordan-Holder theorem and the Sylow theorems. Basic theory of rings and their ideals. Unique factorization domains and principal ideal domains. Modules. Chain conditions. Fields, including fundamental theorem of Galois theory, theory of finite fields, and transcendence degree. 	Mathematics	Mathematics 250A MATH250A
Ind eng 250	Introduction to Production Planning and Logistics Models	This will be an introductory first-year graduate course covering fundamental models in production planning and logistics. Models, algorithms, and analytical techniques for inventory control, production scheduling, production planning, facility location and logistics network design, vehicle routing, and demand forecasting will be discussed. 	Industrial Eng & Ops Rsch	Industrial Eng & Ops Rsch 250 IND ENG250
Compsci 294	Special Topics	Topics will vary from semester to semester. See Computer Science Division announcements. 	Computer Science	Computer Science 294 COMPSCI294
Civ eng 115	Water Chemistry	The application of principles of inorganic, physical, and dilute solution equilibrium chemistry to aquatic systems, both in the aquatic environment and in water and wastewater treatment processes. 	Civil & Environmental Eng	Civil & Environmental Eng 115 CIV ENG115
Mba 205	Leading People	How can you motivate employees to go above and beyond the call of duty to get the job done? How can you be sure that your decisions are not biased? What influence tactics can you use when you do not have the formal authority to tell someone what to do? This course adds to your understanding of life in complex organizations by covering topics spanning the micro (individual level of analysis), the macro (organizational level of analysis), and also topics that integrate these two levels. 	Business Admin-MBA	Business Admin-MBA 205 MBA205
Mba 294	Selected Topics for MBA Students	The course focuses on a specific industry, field of management, or region of the world and is initiated and organized by students. It is usually a survey course. Topics will vary from year to year and will be announced at the beginning of each semester. 	Business Admin-MBA	Business Admin-MBA 294 MBA294
Civ eng 111	Environmental Engineering	Quantitative overview of the properties of environmental contaminants and the transport and transformation processes that govern their concentrations in air and water. Fundamental topics include environmental chemical equilibria and kinetics, reactor models, and elementary transport phenomena. Selected applications to issues in water quality engineering, air quality engineering, and hazardous waste management. 	Civil & Environmental Eng	Civil & Environmental Eng 111 CIV ENG111
Econ 240a	Econometrics	Basic preparation for the Ph.D. program including probability and statistical theory and the classical linear regression model. 	Economics	Economics 240A ECON240A
El eng 242m	Integrated Circuits for Communications	Analysis and design of electronic circuits for communication systems, with an emphasis on integrated circuits for wireless communication systems. Analysis of noise and distortion in amplifiers with application to radio receiver design. Power amplifier design with application to wireless radio transmitters. Radio-frequency mixers, oscillators, phase-locked loops, modulators, and demodulators. 	Electrical Engineering	Electrical Engineering 242M EL ENG242M
Ewmba 200c	Leadership Communications	Leadership communication is a workshop in the fundamentals of public speaking in today's business environment. Through prepared and impromptu speeches aimed at moving others to action, peer coaching, and lectures, students will sharpen their authentic and persuasive communication skills, develop critical listening skills, improve abilities to give, receive, and apply feedback, and gain confidence as public speakers. 	Evening & Weekend MBA	Evening & Weekend MBA 200C EWMBA200C
Pub pol 220	Law and Public Policy	Focuses on legal aspects of public policy by exposing students to primary legal materials, including court decisions and legislative and administrative regulations. Skills of interpretation and legal draftsmanship are developed. Relationships among law-making agencies and between law and policy are explored through case-centered studies. 	Public Policy	Public Policy 220 PUB POL220
Mec eng 118	Introduction to Nanotechnology and Nanoscience	"This course introduces engineering students (juniors and seniors) to the field of nanotechnology and nanoscience. The course has two components: (1) Formal lectures. Students receive a set of formal lectures introducing them to the field of nanotechnology and nanoscience. The material covered includes nanofabrication technology (how one achieves the nanometer length scale, from ""bottom up"" to ""top down"" technologies), the interdisciplinary nature of nanotechnology and nanoscience (including areas of chemistry, material science, physics, and molecular biology), examples of nanoscience phenomena (the crossover from bulk to quantum mechanical properties), and applications (from integrated circuits, quantum computing, MEMS, and bioengineering). (2) Projects. Students are asked to read and present a variety of current journal papers to the class and lead a discussion on the various works. "	Mechanical Engineering	Mechanical Engineering 118 MEC ENG118
Soc wel 220	Social Policy and Social Welfare	Analysis of issues in social welfare policy and recent trends shaping the development of the American welfare state. 	Social Welfare	Social Welfare 220 SOC WEL220
Soc wel 401	Field Instruction	Supervised field work in social agencies and university-based group meetings. 	Social Welfare	Social Welfare 401 SOC WEL401
Vis sci 212d	Anatomy and Vegetative Physiology of the Eye	Introduction for graduate students to a general survey of the orbit, anterior and posterior segment of the eye, extraocular muscles, and neuroanatomy of the eye. Vegetative physiology of the cornea and tear film, aqueous humor, crystalline lens, vitreous humor, epithelial tissue (iris, ciliary body and retina), and photochemistry. 	Vision Science	Vision Science 212D VIS SCI212D
Chem 221a	Advanced Quantum Mechanics	Introduction, one dimensional problems, matrix mechanics, approximation methods. 	Chemistry	Chemistry 221A CHEM221A
History 275b	Core Courses in the Literature of the Several Fields of History: Europe	To provide a broad survey of the literature and historiographical problems of the different fields in history. 	History	History 275B HISTORY275B
